periode,mois,store_id,store_city,product_id,product_name,categorie,chiffre_affaires,marge_brute,taux_marge_pct,nb_transactions,panier_moyen,taux_rupture,taux_surstock,taux_promotion,ca_sous_promo,nb_retours
2025-01,1,S06,Nice,P007,Jeans,Textile,114649.18,9515.88,8.3,1382,82.96,0.15,0.152,0.39,44713.18,2
2025-01,1,S06,Nice,P008,Smartphone,Électronique,94013.84,14008.06,14.9,976,96.33,0.002,0.177,0.07,6580.97,25
2025-01,1,S06,Nice,P009,TV 4K,Électronique,110485.61,33145.68,30.0,635,173.99,0.126,0.07,0.14,15467.99,50
2025-01,1,S06,Nice,P010,Casque audio,Électronique,114945.18,43449.28,37.8,1451,79.22,0.171,0.179,0.21,24138.49,19
2025-01,1,S07,Bordeaux,P001,Lait demi-écrémé,Alimentaire,135468.73,29396.71,21.7,156,868.39,0.169,0.102,0.06,8128.12,20
2025-01,1,S07,Bordeaux,P002,Riz 1kg,Alimentaire,69434.34,21594.08,31.1,1228,56.54,0.174,0.075,0.08,5554.75,30
2025-01,1,S07,Bordeaux,P003,Pâtes 500g,Alimentaire,24071.08,2840.39,11.8,925,26.02,0.007,0.12,0.12,2888.53,29
2025-01,1,S07,Bordeaux,P004,Shampoing,Droguerie,26302.61,8890.28,33.8,217,121.21,0.137,0.137,0.37,9731.97,36
2025-01,1,S07,Bordeaux,P005,Lessive,Droguerie,55740.25,11203.79,20.1,739,75.43,0.149,0.17,0.08,4459.22,22
2025-01,1,S07,Bordeaux,P006,T-shirt homme,Textile,26066.3,10061.59,38.6,255,102.22,0.131,0.073,0.12,3127.96,7
2025-01,1,S07,Bordeaux,P007,Jeans,Textile,12486.77,4295.45,34.4,740,16.87,0.015,0.144,0.24,2996.82,29
2025-01,1,S07,Bordeaux,P008,Smartphone,Électronique,110697.88,39408.45,35.6,534,207.3,0.07,0.034,0.32,35423.32,6
2025-01,1,S07,Bordeaux,P009,TV 4K,Électronique,37639.76,7264.47,19.3,1070,35.18,0.103,0.182,0.25,9409.94,34
2025-01,1,S07,Bordeaux,P010,Casque audio,Électronique,90831.52,14442.21,15.9,874,103.93,0.079,0.123,0.13,11808.1,17
2025-01,1,S08,Nantes,P001,Lait demi-écrémé,Alimentaire,54239.45,19471.96,35.9,857,63.29,0.242,0.045,0.15,8135.92,39
2025-01,1,S08,Nantes,P002,Riz 1kg,Alimentaire,74440.66,21811.11,29.3,564,131.99,0.156,0.162,0.03,2233.22,48
2025-01,1,S08,Nantes,P003,Pâtes 500g,Alimentaire,59877.06,18681.64,31.2,38,1575.71,0.166,0.093,0.19,11376.64,38
2025-01,1,S08,Nantes,P004,Shampoing,Droguerie,40568.37,4705.93,11.6,783,51.81,0.001,0.038,0.36,14604.61,41
2025-01,1,S08,Nantes,P005,Lessive,Droguerie,57694.82,8769.61,15.2,1187,48.61,0.008,0.016,0.29,16731.5,30
2025-01,1,S08,Nantes,P006,T-shirt homme,Textile,5104.78,530.9,10.4,1474,3.46,0.226,0.198,0.17,867.81,44
2025-01,1,S08,Nantes,P007,Jeans,Textile,69963.04,29594.37,42.3,470,148.86,0.118,0.111,0.08,5597.04,38
2025-01,1,S08,Nantes,P008,Smartphone,Électronique,74122.49,11785.48,15.9,356,208.21,0.243,0.157,0.25,18530.62,30
2025-01,1,S08,Nantes,P009,TV 4K,Électronique,11552.39,2437.55,21.1,476,24.27,0.054,0.19,0.06,693.14,37
2025-01,1,S08,Nantes,P010,Casque audio,Électronique,6960.78,1955.98,28.1,890,7.82,0.23,0.038,0.1,696.08,24
2025-02,2,S01,Paris,P001,Lait demi-écrémé,Alimentaire,124414.95,32099.06,25.8,849,146.54,0.075,0.009,0.02,2488.3,11
2025-02,2,S01,Paris,P002,Riz 1kg,Alimentaire,16136.06,1952.46,12.1,188,85.83,0.038,0.06,0.16,2581.77,18
2025-02,2,S01,Paris,P003,Pâtes 500g,Alimentaire,148511.42,65642.05,44.2,1096,135.5,0.114,0.188,0.22,32672.51,16
2025-02,2,S01,Paris,P004,Shampoing,Droguerie,82246.48,13899.66,16.9,1317,62.45,0.049,0.016,0.1,8224.65,34
2025-02,2,S01,Paris,P005,Lessive,Droguerie,106235.0,35376.26,33.3,797,133.29,0.118,0.053,0.06,6374.1,0
2025-02,2,S01,Paris,P006,T-shirt homme,Textile,117047.36,13577.49,11.6,662,176.81,0.075,0.075,0.27,31602.79,47
2025-02,2,S01,Paris,P007,Jeans,Textile,78900.78,29508.89,37.4,994,79.38,0.021,0.196,0.12,9468.09,15
2025-02,2,S01,Paris,P008,Smartphone,Électronique,77652.09,27411.19,35.3,1029,75.46,0.196,0.125,0.05,3882.6,13
2025-02,2,S01,Paris,P009,TV 4K,Électronique,136032.02,25029.89,18.4,632,215.24,0.153,0.071,0.19,25846.08,22
2025-02,2,S01,Paris,P010,Casque audio,Électronique,55696.98,25007.94,44.9,1432,38.89,0.182,0.063,0.15,8354.55,25
2025-02,2,S02,Lyon,P001,Lait demi-écrémé,Alimentaire,1804.75,371.78,20.6,442,4.08,0.147,0.036,0.21,379.0,37
2025-02,2,S02,Lyon,P002,Riz 1kg,Alimentaire,110697.15,21918.04,19.8,280,395.35,0.105,0.153,0.35,38744.0,45
2025-02,2,S02,Lyon,P003,Pâtes 500g,Alimentaire,94792.87,40002.59,42.2,492,192.67,0.104,0.196,0.04,3791.71,40
2025-02,2,S02,Lyon,P004,Shampoing,Droguerie,28177.44,3719.42,13.2,553,50.95,0.131,0.007,0.33,9298.56,12
2025-02,2,S02,Lyon,P005,Lessive,Droguerie,134346.03,41378.58,30.8,830,161.86,0.125,0.009,0.19,25525.75,22
2025-02,2,S02,Lyon,P006,T-shirt homme,Textile,14015.17,1934.09,13.8,1484,9.44,0.091,0.168,0.31,4344.7,46
2025-02,2,S02,Lyon,P007,Jeans,Textile,58303.8,7113.06,12.2,109,534.9,0.122,0.17,0.01,583.04,30
2025-02,2,S02,Lyon,P008,Smartphone,Électronique,138826.33,37205.46,26.8,1229,112.96,0.049,0.035,0.36,49977.48,6
2025-02,2,S02,Lyon,P009,TV 4K,Électronique,126598.63,49120.27,38.8,395,320.5,0.194,0.176,0.39,49373.47,50
2025-02,2,S02,Lyon,P010,Casque audio,Électronique,69639.71,19568.76,28.1,1056,65.95,0.076,0.073,0.06,4178.38,14
2025-02,2,S03,Marseille,P001,Lait demi-écrémé,Alimentaire,42675.72,9217.96,21.6,817,52.23,0.153,0.178,0.14,5974.6,39
2025-02,2,S03,Marseille,P002,Riz 1kg,Alimentaire,82773.63,36503.17,44.1,1225,67.57,0.187,0.168,0.37,30626.24,11
2025-02,2,S03,Marseille,P003,Pâtes 500g,Alimentaire,101132.1,28620.38,28.3,680,148.72,0.131,0.036,0.32,32362.27,50
2025-02,2,S03,Marseille,P004,Shampoing,Droguerie,3150.26,472.54,15.0,120,26.25,0.024,0.159,0.19,598.55,46
2025-02,2,S03,Marseille,P005,Lessive,Droguerie,124995.68,19624.32,15.7,692,180.63,0.148,0.117,0.18,22499.22,40
2025-02,2,S03,Marseille,P006,T-shirt homme,Textile,126654.76,13552.06,10.7,391,323.93,0.218,0.144,0.29,36729.88,22
2025-02,2,S03,Marseille,P007,Jeans,Textile,123776.42,32553.2,26.3,664,186.41,0.161,0.176,0.21,25993.05,45
2025-02,2,S03,Marseille,P008,Smartphone,Électronique,82932.52,27284.8,32.9,1455,57.0,0.215,0.168,0.11,9122.58,8
2025-02,2,S03,Marseille,P009,TV 4K,Électronique,3452.04,845.75,24.5,1312,2.63,0.208,0.008,0.14,483.29,14
2025-02,2,S03,Marseille,P010,Casque audio,Électronique,34057.9,3950.72,11.6,998,34.13,0.185,0.126,0.14,4768.11,40
2025-02,2,S04,Lille,P001,Lait demi-écrémé,Alimentaire,75139.16,16605.75,22.1,1387,54.17,0.069,0.124,0.07,5259.74,36
2025-02,2,S04,Lille,P002,Riz 1kg,Alimentaire,120462.54,18069.38,15.0,663,181.69,0.166,0.1,0.06,7227.75,12
2025-02,2,S04,Lille,P003,Pâtes 500g,Alimentaire,23195.63,7051.47,30.4,666,34.83,0.022,0.14,0.23,5334.99,35
2025-02,2,S04,Lille,P004,Shampoing,Droguerie,81656.35,19189.24,23.5,442,184.74,0.075,0.007,0.35,28579.72,8
2025-02,2,S04,Lille,P005,Lessive,Droguerie,12530.92,4072.55,32.5,1488,8.42,0.108,0.153,0.05,626.55,23
2025-02,2,S04,Lille,P006,T-shirt homme,Textile,91246.31,32118.7,35.2,917,99.51,0.041,0.054,0.1,9124.63,10
2025-02,2,S04,Lille,P007,Jeans,Textile,55651.69,12243.37,22.0,1270,43.82,0.11,0.084,0.03,1669.55,20
2025-02,2,S04,Lille,P008,Smartphone,Électronique,55744.45,10479.96,18.8,1083,51.47,0.022,0.043,0.04,2229.78,43
2025-02,2,S04,Lille,P009,TV 4K,Électronique,11049.29,3535.77,32.0,711,15.54,0.008,0.016,0.22,2430.84,37
2025-02,2,S04,Lille,P010,Casque audio,Électronique,109769.05,38858.24,35.4,553,198.5,0.027,0.16,0.32,35126.1,19
2025-02,2,S05,Toulouse,P001,Lait demi-écrémé,Alimentaire,113724.45,36050.65,31.7,1387,81.99,0.24,0.05,0.11,12509.69,21
2025-02,2,S05,Toulouse,P002,Riz 1kg,Alimentaire,110749.81,13954.48,12.6,817,135.56,0.223,0.173,0.15,16612.47,36
2025-02,2,S05,Toulouse,P003,Pâtes 500g,Alimentaire,3416.26,519.27,15.2,672,5.08,0.127,0.067,0.27,922.39,7
2025-02,2,S05,Toulouse,P004,Shampoing,Droguerie,125231.57,50092.63,40.0,382,327.83,0.018,0.019,0.4,50092.63,18
2025-02,2,S05,Toulouse,P005,Lessive,Droguerie,97558.81,33560.23,34.4,177,551.18,0.001,0.15,0.06,5853.53,8
2025-02,2,S05,Toulouse,P006,T-shirt homme,Textile,143916.57,27775.9,19.3,1041,138.25,0.028,0.192,0.14,20148.32,9
2025-02,2,S05,Toulouse,P007,Jeans,Textile,76811.46,31339.08,40.8,164,468.36,0.114,0.049,0.18,13826.06,22
2025-02,2,S05,Toulouse,P008,Smartphone,Électronique,46311.95,12874.72,27.8,989,46.83,0.175,0.083,0.14,6483.67,30
2025-02,2,S05,Toulouse,P009,TV 4K,Électronique,145684.73,47493.22,32.6,374,389.53,0.138,0.196,0.03,4370.54,47
2025-02,2,S05,Toulouse,P010,Casque audio,Électronique,130467.88,46316.1,35.5,1476,88.39,0.113,0.041,0.18,23484.22,24
2025-02,2,S06,Nice,P001,Lait demi-écrémé,Alimentaire,48090.8,11541.79,24.0,141,341.07,0.132,0.09,0.02,961.82,20
2025-02,2,S06,Nice,P002,Riz 1kg,Alimentaire,10682.72,2414.29,22.6,1282,8.33,0.092,0.165,0.03,320.48,4
2025-02,2,S06,Nice,P003,Pâtes 500g,Alimentaire,70851.84,23451.96,33.1,504,140.58,0.191,0.029,0.09,6376.67,21
2025-02,2,S06,Nice,P004,Shampoing,Droguerie,8952.61,1092.22,12.2,209,42.84,0.041,0.097,0.25,2238.15,33
2025-02,2,S06,Nice,P005,Lessive,Droguerie,136690.6,54402.86,39.8,936,146.04,0.033,0.139,0.05,6834.53,16
2025-02,2,S06,Nice,P006,T-shirt homme,Textile,20698.12,2752.85,13.3,321,64.48,0.248,0.051,0.25,5174.53,3
2025-02,2,S06,Nice,P007,Jeans,Textile,136153.14,17019.14,12.5,518,262.84,0.245,0.19,0.01,1361.53,49
2025-02,2,S06,Nice,P008,Smartphone,Électronique,51405.93,16861.15,32.8,991,51.87,0.234,0.16,0.39,20048.31,14
2025-02,2,S06,Nice,P009,TV 4K,Électronique,120925.82,22371.28,18.5,581,208.13,0.137,0.199,0.35,42324.04,17
2025-02,2,S06,Nice,P010,Casque audio,Électronique,9977.16,2055.29,20.6,606,16.46,0.049,0.166,0.25,2494.29,34
2025-02,2,S07,Bordeaux,P001,Lait demi-écrémé,Alimentaire,67751.82,14363.39,21.2,54,1254.66,0.064,0.183,0.02,1355.04,29
2025-02,2,S07,Bordeaux,P002,Riz 1kg,Alimentaire,111487.85,44595.14,40.0,1358,82.1,0.191,0.163,0.34,37905.87,19
2025-02,2,S07,Bordeaux,P003,Pâtes 500g,Alimentaire,92761.58,9183.4,9.9,1469,63.15,0.143,0.114,0.06,5565.69,12
2025-02,2,S07,Bordeaux,P004,Shampoing,Droguerie,30340.65,13349.89,44.0,745,40.73,0.183,0.178,0.08,2427.25,42
2025-02,2,S07,Bordeaux,P005,Lessive,Droguerie,25960.8,10436.24,40.2,528,49.17,0.046,0.157,0.06,1557.65,3
2025-02,2,S07,Bordeaux,P006,T-shirt homme,Textile,13580.6,3177.86,23.4,798,17.02,0.027,0.189,0.07,950.64,40
2025-02,2,S07,Bordeaux,P007,Jeans,Textile,43708.06,19581.21,44.8,967,45.2,0.014,0.103,0.21,9178.69,8
2025-02,2,S07,Bordeaux,P008,Smartphone,Électronique,98027.45,42249.83,43.1,1164,84.22,0.056,0.159,0.39,38230.71,31
2025-02,2,S07,Bordeaux,P009,TV 4K,Électronique,95534.86,9840.09,10.3,373,256.13,0.014,0.164,0.2,19106.97,39
2025-02,2,S07,Bordeaux,P010,Casque audio,Électronique,30343.26,10104.31,33.3,1439,21.09,0.243,0.167,0.09,2730.89,42
2025-02,2,S08,Nantes,P001,Lait demi-écrémé,Alimentaire,25399.89,10109.16,39.8,785,32.36,0.239,0.198,0.35,8889.96,14
2025-02,2,S08,Nantes,P002,Riz 1kg,Alimentaire,57883.86,9435.07,16.3,977,59.25,0.087,0.145,0.26,15049.8,15
2025-02,2,S08,Nantes,P003,Pâtes 500g,Alimentaire,68935.45,6617.8,9.6,723,95.35,0.056,0.143,0.18,12408.38,8
2025-02,2,S08,Nantes,P004,Shampoing,Droguerie,98650.01,23084.1,23.4,801,123.16,0.192,0.043,0.34,33541.0,1
2025-02,2,S08,Nantes,P005,Lessive,Droguerie,64015.07,13315.13,20.8,86,744.36,0.141,0.119,0.31,19844.67,28
2025-02,2,S08,Nantes,P006,T-shirt homme,Textile,96224.74,8179.1,8.5,966,99.61,0.055,0.02,0.31,29829.67,2
2025-02,2,S08,Nantes,P007,Jeans,Textile,132049.2,15449.76,11.7,242,545.66,0.08,0.066,0.17,22448.36,11
2025-02,2,S08,Nantes,P008,Smartphone,Électronique,20097.67,5888.62,29.3,242,83.05,0.089,0.199,0.32,6431.25,36
2025-02,2,S08,Nantes,P009,TV 4K,Électronique,79639.99,18715.4,23.5,426,186.95,0.184,0.095,0.39,31059.6,17
2025-02,2,S08,Nantes,P010,Casque audio,Électronique,13638.85,1636.66,12.0,1473,9.26,0.15,0.14,0.15,2045.83,34
2025-03,3,S01,Paris,P001,Lait demi-écrémé,Alimentaire,143952.4,59164.44,41.1,468,307.59,0.249,0.036,0.4,57580.96,50
2025-03,3,S01,Paris,P002,Riz 1kg,Alimentaire,109614.79,42969.0,39.2,1092,100.38,0.166,0.019,0.11,12057.63,28
2025-03,3,S01,Paris,P003,Pâtes 500g,Alimentaire,79322.6,30697.85,38.7,180,440.68,0.125,0.094,0.03,2379.68,37
2025-03,3,S01,Paris,P004,Shampoing,Droguerie,129107.02,42863.53,33.2,361,357.64,0.061,0.04,0.0,0.0,28
2025-03,3,S01,Paris,P005,Lessive,Droguerie,94458.03,42317.2,44.8,207,456.32,0.091,0.096,0.15,14168.7,23
2025-03,3,S01,Paris,P006,T-shirt homme,Textile,65051.12,26345.7,40.5,1454,44.74,0.138,0.113,0.03,1951.53,25
2025-03,3,S01,Paris,P007,Jeans,Textile,149161.89,15811.16,10.6,84,1775.74,0.136,0.03,0.25,37290.47,1
2025-03,3,S01,Paris,P008,Smartphone,Électronique,135566.29,22639.57,16.7,700,193.67,0.236,0.086,0.38,51515.19,2
2025-03,3,S01,Paris,P009,TV 4K,Électronique,95494.01,14037.62,14.7,962,99.27,0.119,0.044,0.24,22918.56,49
2025-03,3,S01,Paris,P010,Casque audio,Électronique,118560.79,43630.37,36.8,448,264.64,0.234,0.18,0.03,3556.82,22
2025-03,3,S02,Lyon,P001,Lait demi-écrémé,Alimentaire,133219.92,53554.41,40.2,997,133.62,0.18,0.081,0.11,14654.19,33
2025-03,3,S02,Lyon,P002,Riz 1kg,Alimentaire,51130.99,11760.13,23.0,1464,34.93,0.085,0.177,0.09,4601.79,11
2025-03,3,S02,Lyon,P003,Pâtes 500g,Alimentaire,55436.13,10477.43,18.9,988,56.11,0.078,0.044,0.28,15522.12,9
2025-03,3,S02,Lyon,P004,Shampoing,Droguerie,143989.39,21598.41,15.0,331,435.01,0.189,0.152,0.24,34557.45,36
2025-03,3,S02,Lyon,P005,Lessive,Droguerie,92441.53,39102.77,42.3,892,103.63,0.027,0.114,0.29,26808.04,32
2025-03,3,S02,Lyon,P006,T-shirt homme,Textile,145188.42,34119.28,23.5,517,280.83,0.219,0.019,0.2,29037.68,38
2025-03,3,S02,Lyon,P007,Jeans,Textile,64842.64,17183.3,26.5,802,80.85,0.113,0.035,0.2,12968.53,29
2025-03,3,S02,Lyon,P008,Smartphone,Électronique,99287.34,15290.25,15.4,196,506.57,0.07,0.102,0.21,20850.34,25
2025-03,3,S02,Lyon,P009,TV 4K,Électronique,143746.03,42836.32,29.8,69,2083.28,0.091,0.058,0.02,2874.92,47
2025-03,3,S02,Lyon,P010,Casque audio,Électronique,5256.96,2139.58,40.7,234,22.47,0.227,0.18,0.07,367.99,36
2025-03,3,S03,Marseille,P001,Lait demi-écrémé,Alimentaire,21107.93,3693.89,17.5,457,46.19,0.233,0.081,0.08,1688.63,10
2025-03,3,S03,Marseille,P002,Riz 1kg,Alimentaire,86240.39,14143.42,16.4,1230,70.11,0.143,0.116,0.23,19835.29,44
2025-03,3,S03,Marseille,P003,Pâtes 500g,Alimentaire,23914.39,6241.66,26.1,495,48.31,0.076,0.182,0.32,7652.6,10
2025-03,3,S03,Marseille,P004,Shampoing,Droguerie,116774.74,19384.61,16.6,1410,82.82,0.132,0.167,0.36,42038.91,49
2025-03,3,S03,Marseille,P005,Lessive,Droguerie,7288.44,2463.49,33.8,110,66.26,0.199,0.106,0.39,2842.49,48
2025-03,3,S03,Marseille,P006,T-shirt homme,Textile,48466.04,9741.67,20.1,284,170.66,0.051,0.044,0.33,15993.79,0
2025-03,3,S03,Marseille,P007,Jeans,Textile,35759.2,10835.04,30.3,117,305.63,0.207,0.028,0.28,10012.58,4
2025-03,3,S03,Marseille,P008,Smartphone,Électronique,29229.04,10668.6,36.5,664,44.02,0.163,0.041,0.06,1753.74,34
2025-03,3,S03,Marseille,P009,TV 4K,Électronique,86483.15,17642.56,20.4,364,237.59,0.237,0.111,0.33,28539.44,14
2025-03,3,S03,Marseille,P010,Casque audio,Électronique,19762.15,8359.39,42.3,1484,13.32,0.241,0.068,0.23,4545.29,44
2025-03,3,S04,Lille,P001,Lait demi-écrémé,Alimentaire,82827.58,19133.17,23.1,767,107.99,0.167,0.159,0.14,11595.86,37
2025-03,3,S04,Lille,P002,Riz 1kg,Alimentaire,89085.04,7394.06,8.3,748,119.1,0.226,0.08,0.11,9799.35,15
2025-03,3,S04,Lille,P003,Pâtes 500g,Alimentaire,19557.99,4028.95,20.6,1241,15.76,0.077,0.06,0.19,3716.02,26
2025-03,3,S04,Lille,P004,Shampoing,Droguerie,44835.8,7666.92,17.1,1225,36.6,0.119,0.039,0.25,11208.95,24
2025-03,3,S04,Lille,P005,Lessive,Droguerie,9160.76,3645.98,39.8,271,33.8,0.043,0.13,0.32,2931.44,9
2025-03,3,S04,Lille,P006,T-shirt homme,Textile,18923.67,6982.83,36.9,466,40.61,0.18,0.054,0.19,3595.5,26
2025-03,3,S04,Lille,P007,Jeans,Textile,114648.0,10318.32,9.0,417,274.94,0.234,0.056,0.31,35540.88,8
