order_id,supplier_id,supplier_name,pays_origine,categorie,product_id,product_name,date_commande,date_livraison,delai_prevu_j,delai_reel_j,retard_j,quantite_commandee,prix_unitaire,montant_total,taux_fiabilite,conformite_qualite
ORD00092,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-05-23,2025-06-08,14,16,2,566,375.79,212697.14,0.87,Oui
ORD00093,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-06-29,2025-07-01,2,2,0,1381,31.34,43280.54,0.99,Oui
ORD00094,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-05-07,2025-05-09,2,2,0,1768,9.66,17078.88,0.79,Oui
ORD00095,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-10-16,2025-10-21,5,5,0,1002,314.91,315539.82,0.94,Oui
ORD00096,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-02-28,2025-03-18,18,18,0,687,49.09,33724.83,0.76,Oui
ORD00097,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-07-23,2025-08-10,14,18,4,456,34.66,15804.96,0.92,Oui
ORD00098,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-12-23,2025-12-29,5,6,1,1791,308.07,551753.37,0.95,Oui
ORD00099,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-01-22,2025-02-10,18,19,1,1141,193.06,220281.46,0.84,Oui
ORD00100,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-01-07,2025-01-19,10,12,2,1734,220.85,382953.9,0.86,Oui
ORD00101,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-12-29,2026-01-19,21,21,0,941,79.67,74969.47,0.88,Oui
ORD00102,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-10-03,2025-10-23,18,20,2,1002,196.29,196682.58,0.93,Oui
ORD00103,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-02-14,2025-02-21,6,7,1,1855,203.14,376824.7,0.94,Oui
ORD00104,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-06-22,2025-07-05,14,13,0,1062,383.0,406746.0,0.8,Oui
ORD00105,F005,CleanHome,France,Droguerie,P005,Lessive,2025-06-24,2025-06-28,3,4,1,1852,268.47,497206.44,0.97,Oui
ORD00106,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-04-08,2025-05-02,25,24,0,544,324.17,176348.48,0.87,Oui
ORD00107,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-11-27,2025-12-22,21,25,4,1055,201.95,213057.25,0.75,Oui
ORD00108,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-12-21,2026-01-04,14,14,0,677,298.95,202389.15,0.84,Oui
ORD00109,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-08-06,2025-08-20,10,14,4,1177,149.19,175596.63,0.93,Oui
ORD00110,F005,CleanHome,France,Droguerie,P005,Lessive,2025-04-29,2025-05-01,3,2,0,1527,87.07,132955.89,0.78,Oui
ORD00111,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-04-09,2025-04-13,4,4,0,1562,218.15,340750.3,0.93,Non
ORD00112,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-11-02,2025-11-28,25,26,1,255,374.77,95566.35,0.82,Oui
ORD00113,F005,CleanHome,France,Droguerie,P005,Lessive,2025-01-08,2025-01-15,3,7,4,1143,57.4,65608.2,0.76,Oui
ORD00114,F005,CleanHome,France,Droguerie,P005,Lessive,2025-12-24,2025-12-27,3,3,0,1356,390.87,530019.72,0.87,Oui
ORD00115,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-05-26,2025-06-15,18,20,2,1030,198.49,204444.7,0.8,Oui
ORD00116,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-02-28,2025-03-20,21,20,0,870,221.54,192739.8,0.89,Oui
ORD00117,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-03-18,2025-03-25,4,7,3,1993,137.07,273180.51,1.0,Oui
ORD00118,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-11-07,2025-11-24,14,17,3,1669,278.48,464783.12,0.94,Oui
ORD00119,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-06-02,2025-06-26,21,24,3,928,137.77,127850.56,0.91,Oui
ORD00120,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-04-17,2025-04-26,5,9,4,482,119.46,57579.72,0.77,Oui
ORD00121,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-02-08,2025-03-05,25,25,0,55,184.13,10127.15,0.92,Oui
ORD00122,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-04-29,2025-05-02,2,3,1,1497,127.58,190987.26,0.96,Oui
ORD00123,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-05-16,2025-05-26,6,10,4,1257,297.7,374208.9,0.98,Oui
ORD00124,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-04-26,2025-05-25,25,29,4,355,408.83,145134.65,0.96,Oui
ORD00125,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-06-07,2025-06-14,4,7,3,1583,371.0,587293.0,0.98,Oui
ORD00126,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-12-19,2026-01-10,21,22,1,1483,181.43,269060.69,0.82,Oui
ORD00127,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-02-11,2025-03-07,21,24,3,131,400.3,52439.3,0.93,Oui
ORD00128,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-02-16,2025-02-18,2,2,0,1430,376.26,538051.8,0.89,Non
ORD00129,F005,CleanHome,France,Droguerie,P005,Lessive,2025-10-23,2025-10-25,3,2,0,1612,340.44,548789.28,0.87,Oui
ORD00130,F005,CleanHome,France,Droguerie,P005,Lessive,2025-04-03,2025-04-09,3,6,3,942,285.84,269261.28,0.87,Oui
ORD00131,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-07-29,2025-08-09,10,11,1,707,301.73,213323.11,0.96,Oui
ORD00132,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-05-28,2025-06-22,21,25,4,1985,180.5,358292.5,0.94,Oui
ORD00133,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-06-11,2025-06-17,5,6,1,712,52.61,37458.32,0.94,Oui
ORD00134,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-12-03,2025-12-08,2,5,3,996,186.25,185505.0,0.8,Oui
ORD00135,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-11-17,2025-12-10,21,23,2,1606,23.7,38062.2,0.82,Oui
ORD00136,F005,CleanHome,France,Droguerie,P005,Lessive,2025-08-13,2025-08-20,3,7,4,1042,55.08,57393.36,0.99,Oui
ORD00137,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-12-30,2026-01-05,6,6,0,686,248.1,170196.6,0.89,Oui
ORD00138,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-08-25,2025-08-29,5,4,0,1376,374.55,515380.8,0.87,Oui
ORD00139,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-12-28,2026-01-23,25,26,1,900,375.71,338139.0,1.0,Oui
ORD00140,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-03-16,2025-04-12,25,27,2,440,414.88,182547.2,0.88,Oui
ORD00141,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-05-22,2025-05-29,5,7,2,746,420.44,313648.24,0.88,Oui
ORD00142,F005,CleanHome,France,Droguerie,P005,Lessive,2025-06-02,2025-06-08,3,6,3,1237,449.51,556043.87,0.87,Oui
ORD00143,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-09-05,2025-10-01,25,26,1,730,248.59,181470.7,0.89,Oui
ORD00144,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-04-07,2025-04-21,10,14,4,539,257.52,138803.28,0.81,Oui
ORD00145,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-06-12,2025-06-18,2,6,4,1018,317.5,323215.0,0.95,Oui
ORD00146,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-09-11,2025-09-14,4,3,0,308,226.28,69694.24,0.9,Oui
ORD00147,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-02-21,2025-03-17,21,24,3,1914,205.89,394073.46,0.93,Oui
ORD00148,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-02-08,2025-02-14,4,6,2,1650,436.16,719664.0,0.83,Oui
ORD00149,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-06-18,2025-06-27,5,9,4,1809,240.36,434811.24,0.99,Oui
ORD00150,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-10-05,2025-10-25,21,20,0,1314,31.26,41075.64,0.91,Non
ORD00151,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-02-16,2025-02-24,6,8,2,251,342.29,85914.79,0.93,Oui
ORD00152,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-12-22,2025-12-27,4,5,1,1900,13.51,25669.0,0.83,Oui
ORD00153,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-07-11,2025-07-23,10,12,2,348,110.27,38373.96,0.85,Oui
ORD00154,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-03-29,2025-04-02,4,4,0,211,274.47,57913.17,0.85,Oui
ORD00155,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-10-26,2025-11-16,21,21,0,525,207.79,109089.75,0.81,Oui
ORD00156,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-08-27,2025-08-30,2,3,1,1437,246.2,353789.4,0.77,Non
ORD00157,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-06-03,2025-06-25,18,22,4,918,310.8,285314.4,0.86,Oui
ORD00158,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-09-05,2025-09-18,14,13,0,535,171.92,91977.2,0.84,Oui
ORD00159,F005,CleanHome,France,Droguerie,P005,Lessive,2025-01-12,2025-01-19,3,7,4,860,123.88,106536.8,0.89,Oui
ORD00160,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-11-07,2025-11-13,2,6,4,1067,374.86,399975.62,0.98,Oui
ORD00161,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-11-07,2025-11-14,6,7,1,498,286.66,142756.68,0.91,Oui
ORD00162,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-11-18,2025-11-21,4,3,0,1900,282.54,536826.0,0.76,Oui
ORD00163,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-10-24,2025-10-27,2,3,1,1549,59.57,92273.93,0.98,Oui
ORD00164,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-03-31,2025-04-14,14,14,0,320,354.04,113292.8,0.97,Oui
ORD00165,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-05-20,2025-06-14,25,25,0,576,411.37,236949.12,0.99,Non
ORD00166,F005,CleanHome,France,Droguerie,P005,Lessive,2025-06-23,2025-06-25,3,2,0,1009,433.32,437219.88,0.79,Non
ORD00167,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-10-13,2025-10-28,14,15,1,234,355.91,83282.94,0.75,Oui
ORD00168,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-07-08,2025-08-02,21,25,4,1583,302.72,479205.76,0.9,Oui
ORD00169,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-02-25,2025-03-11,10,14,4,528,212.43,112163.04,0.9,Non
ORD00170,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-11-09,2025-11-19,10,10,0,1376,28.92,39793.92,0.96,Oui
ORD00171,F005,CleanHome,France,Droguerie,P005,Lessive,2025-11-29,2025-12-04,3,5,2,288,63.33,18239.04,0.99,Oui
ORD00172,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-03-01,2025-03-21,21,20,0,530,399.32,211639.6,0.78,Oui
ORD00173,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-08-03,2025-08-31,25,28,3,1570,327.11,513562.7,0.97,Oui
ORD00174,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-11-12,2025-12-05,21,23,2,1973,428.21,844858.33,0.76,Oui
ORD00175,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-08-16,2025-09-06,21,21,0,1801,163.53,294517.53,1.0,Oui
ORD00176,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-02-01,2025-02-13,10,12,2,615,85.82,52779.3,0.78,Oui
ORD00177,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-02-16,2025-03-13,21,25,4,484,288.95,139851.8,0.9,Oui
ORD00178,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-05-05,2025-05-15,10,10,0,1661,254.28,422359.08,0.77,Oui
ORD00179,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-10-28,2025-11-03,6,6,0,1715,391.43,671302.45,0.83,Oui
ORD00180,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-01-02,2025-01-21,18,19,1,1808,442.82,800618.56,1.0,Oui
ORD00181,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-02-26,2025-03-06,4,8,4,1824,12.09,22052.16,0.75,Oui
ORD00182,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-10-29,2025-11-05,6,7,1,82,78.82,6463.24,0.76,Oui
