transaction_id,date,store_id,store_city,product_id,product_name,category,price,quantity,total_amount,customer_id,customer_age,customer_segment,loyalty_points,payment_method,stock_before,stock_after,promotion,weather,temperature,special_day,web_visits,clicks
T00024,2025-05-03,S02,Lyon,P003,Pâtes 500g,Alimentaire,1.1,2,2.2,C358,20,Senior,2196,CB,47,45,Oui,Nuageux,33.2,Aucun,22,16
T00025,2025-01-21,S01,Paris,P003,Pâtes 500g,Alimentaire,1.1,4,4.4,C619,64,Famille,2887,Espèces,146,142,Oui,Soleil,20.6,Aucun,12,4
T00026,2025-10-11,S08,Nantes,P010,Casque audio,Électronique,49.0,10,490.0,C617,22,Famille,31,CB,24,14,Oui,Neige,34.2,Aucun,30,11
T00027,2025-06-20,S01,Paris,P007,Jeans,Textile,35.0,10,350.0,C896,32,Famille,4984,Espèces,149,139,Oui,Neige,4.5,Soldes,7,5
T00028,2025-04-09,S04,Lille,P004,Shampoing,Droguerie,4.5,3,13.5,C833,33,Famille,4374,CB,54,51,Non,Soleil,2.8,Aucun,9,1
T00029,2025-09-25,S08,Nantes,P003,Pâtes 500g,Alimentaire,1.1,9,9.9,C592,32,Senior,672,CB,77,68,Oui,Pluie,1.9,Black Friday,28,14
T00030,2025-09-16,S06,Nice,P007,Jeans,Textile,35.0,4,140.0,C740,59,Actif,4020,Espèces,36,32,Oui,Pluie,17.2,Black Friday,24,17
T00031,2025-11-25,S02,Lyon,P006,T-shirt homme,Textile,12.0,10,120.0,C118,57,Jeune,43,Espèces,38,28,Oui,Pluie,-3.6,Soldes,33,28
T00032,2025-08-20,S03,Marseille,P004,Shampoing,Droguerie,4.5,9,40.5,C672,30,Actif,1965,Espèces,60,51,Non,Soleil,23.3,Soldes,10,4
T00033,2025-03-23,S07,Bordeaux,P008,Smartphone,Électronique,299.0,4,1196.0,C616,19,Actif,4412,Espèces,36,32,Non,Soleil,31.3,Soldes,27,8
T00034,2025-07-02,S02,Lyon,P007,Jeans,Textile,35.0,9,315.0,C315,50,Jeune,4948,Mobile,28,19,Oui,Soleil,26.2,Black Friday,14,12
T00035,2025-05-23,S03,Marseille,P001,Lait demi-écrémé,Alimentaire,1.2,9,10.8,C148,56,Famille,4658,Mobile,164,155,Oui,Soleil,6.1,Noël,30,18
T00036,2025-05-05,S08,Nantes,P001,Lait demi-écrémé,Alimentaire,1.2,2,2.4,C811,46,Actif,640,Mobile,100,98,Non,Pluie,2.9,Soldes,0,1
T00037,2025-02-24,S05,Toulouse,P007,Jeans,Textile,35.0,2,70.0,C113,48,Actif,4457,Espèces,22,20,Oui,Soleil,12.0,Aucun,12,11
T00038,2025-04-15,S03,Marseille,P009,TV 4K,Électronique,599.0,8,4792.0,C143,45,Jeune,1417,Mobile,126,118,Oui,Pluie,14.3,Soldes,8,4
T00039,2025-03-02,S08,Nantes,P002,Riz 1kg,Alimentaire,2.0,5,10.0,C277,61,Jeune,1198,CB,162,157,Oui,Pluie,3.4,Noël,19,9
T00040,2025-08-14,S05,Toulouse,P004,Shampoing,Droguerie,4.5,8,36.0,C679,66,Jeune,2595,Espèces,103,95,Oui,Nuageux,12.1,Black Friday,24,14
T00041,2025-09-06,S04,Lille,P004,Shampoing,Droguerie,4.5,6,27.0,C886,60,Jeune,2763,CB,99,93,Non,Pluie,0.2,Soldes,1,0
T00042,2025-04-01,S02,Lyon,P007,Jeans,Textile,35.0,4,140.0,C439,59,Senior,2284,Mobile,179,175,Non,Pluie,29.8,Soldes,22,17
T00043,2025-07-11,S01,Paris,P004,Shampoing,Droguerie,4.5,9,40.5,C117,60,Senior,2128,Espèces,149,140,Oui,Soleil,9.7,Black Friday,7,5
T00044,2025-07-11,S07,Bordeaux,P001,Lait demi-écrémé,Alimentaire,1.2,5,6.0,C987,39,Senior,1819,CB,181,176,Oui,Nuageux,-1.1,Soldes,26,17
T00045,2025-03-15,S03,Marseille,P010,Casque audio,Électronique,49.0,4,196.0,C992,63,Senior,3342,CB,198,194,Oui,Soleil,19.7,Soldes,41,22
T00046,2025-01-18,S06,Nice,P008,Smartphone,Électronique,299.0,6,1794.0,C594,62,Famille,2277,CB,57,51,Oui,Nuageux,30.5,Black Friday,28,6
T00047,2025-12-25,S01,Paris,P008,Smartphone,Électronique,299.0,2,598.0,C238,49,Actif,596,CB,77,75,Non,Soleil,34.6,Noël,1,0
T00048,2025-04-04,S07,Bordeaux,P001,Lait demi-écrémé,Alimentaire,1.2,6,7.2,C659,36,Senior,514,Mobile,197,191,Oui,Pluie,7.8,Noël,23,12
T00049,2025-03-14,S02,Lyon,P008,Smartphone,Électronique,299.0,8,2392.0,C827,65,Famille,4933,CB,178,170,Non,Pluie,33.5,Aucun,26,23
T00050,2025-02-04,S06,Nice,P005,Lessive,Droguerie,8.5,2,17.0,C712,66,Famille,164,Espèces,193,191,Oui,Nuageux,19.5,Aucun,9,0
T00051,2025-05-28,S06,Nice,P008,Smartphone,Électronique,299.0,10,2990.0,C552,53,Actif,3146,CB,193,183,Non,Nuageux,6.9,Black Friday,50,10
T00052,2025-09-22,S08,Nantes,P002,Riz 1kg,Alimentaire,2.0,7,14.0,C681,61,Senior,4142,CB,72,65,Non,Soleil,5.0,Black Friday,27,25
T00053,2025-12-04,S08,Nantes,P008,Smartphone,Électronique,299.0,5,1495.0,C426,64,Actif,1902,CB,152,147,Oui,Pluie,15.6,Aucun,11,3
T00054,2025-05-22,S01,Paris,P003,Pâtes 500g,Alimentaire,1.1,1,1.1,C413,52,Famille,2450,Mobile,85,84,Oui,Soleil,34.5,Aucun,13,11
T00055,2025-07-09,S04,Lille,P001,Lait demi-écrémé,Alimentaire,1.2,10,12.0,C309,23,Actif,991,Mobile,115,105,Non,Nuageux,-2.5,Noël,7,1
T00056,2025-10-27,S01,Paris,P008,Smartphone,Électronique,299.0,9,2691.0,C333,70,Actif,4858,Espèces,132,123,Non,Nuageux,18.1,Aucun,28,6
T00057,2025-02-22,S02,Lyon,P010,Casque audio,Électronique,49.0,7,343.0,C791,67,Jeune,4333,Espèces,198,191,Oui,Neige,12.8,Soldes,26,5
T00058,2025-12-23,S04,Lille,P002,Riz 1kg,Alimentaire,2.0,2,4.0,C333,58,Famille,729,CB,147,145,Non,Pluie,-3.2,Noël,7,7
T00059,2025-04-22,S02,Lyon,P008,Smartphone,Électronique,299.0,3,897.0,C346,48,Senior,1075,CB,151,148,Oui,Neige,1.1,Aucun,19,17
T00060,2025-09-23,S01,Paris,P006,T-shirt homme,Textile,12.0,3,36.0,C660,33,Jeune,4130,Espèces,90,87,Non,Pluie,20.0,Black Friday,47,3
T00061,2025-03-28,S02,Lyon,P010,Casque audio,Électronique,49.0,5,245.0,C738,28,Famille,1287,CB,72,67,Oui,Neige,6.9,Black Friday,10,2
T00062,2025-03-09,S08,Nantes,P001,Lait demi-écrémé,Alimentaire,1.2,1,1.2,C202,50,Famille,1984,Espèces,190,189,Oui,Soleil,1.1,Noël,30,3
T00063,2025-10-14,S04,Lille,P004,Shampoing,Droguerie,4.5,9,40.5,C893,56,Actif,539,Mobile,87,78,Non,Pluie,21.1,Noël,10,7
T00064,2025-08-24,S07,Bordeaux,P006,T-shirt homme,Textile,12.0,4,48.0,C905,26,Actif,3364,Mobile,36,32,Non,Neige,23.2,Aucun,29,27
T00065,2025-06-13,S03,Marseille,P008,Smartphone,Électronique,299.0,8,2392.0,C717,46,Actif,855,Mobile,196,188,Non,Soleil,23.1,Noël,43,23
T00066,2025-02-23,S07,Bordeaux,P005,Lessive,Droguerie,8.5,8,68.0,C317,62,Actif,413,CB,176,168,Oui,Pluie,9.2,Soldes,35,19
T00067,2025-03-14,S06,Nice,P005,Lessive,Droguerie,8.5,9,76.5,C116,37,Actif,1192,CB,27,18,Non,Soleil,31.3,Black Friday,23,0
T00068,2025-04-17,S06,Nice,P001,Lait demi-écrémé,Alimentaire,1.2,2,2.4,C822,19,Jeune,3808,CB,132,130,Non,Neige,7.6,Black Friday,46,15
T00069,2025-07-06,S03,Marseille,P002,Riz 1kg,Alimentaire,2.0,5,10.0,C545,61,Actif,390,CB,149,144,Non,Soleil,4.1,Black Friday,39,25
T00070,2025-06-26,S01,Paris,P002,Riz 1kg,Alimentaire,2.0,6,12.0,C361,50,Famille,2915,CB,115,109,Oui,Pluie,23.3,Soldes,44,34
T00071,2025-07-04,S06,Nice,P001,Lait demi-écrémé,Alimentaire,1.2,6,7.2,C921,38,Senior,1825,Espèces,172,166,Oui,Nuageux,9.6,Black Friday,9,6
T00072,2025-11-08,S03,Marseille,P007,Jeans,Textile,35.0,2,70.0,C238,20,Famille,4486,CB,187,185,Oui,Pluie,24.2,Noël,34,6
T00073,2025-09-09,S06,Nice,P005,Lessive,Droguerie,8.5,10,85.0,C807,61,Actif,3237,CB,58,48,Non,Neige,24.7,Black Friday,38,21
T00074,2025-03-06,S07,Bordeaux,P003,Pâtes 500g,Alimentaire,1.1,3,3.3,C868,62,Senior,2963,Mobile,178,175,Oui,Neige,22.6,Soldes,39,36
T00075,2025-08-17,S07,Bordeaux,P004,Shampoing,Droguerie,4.5,8,36.0,C948,46,Actif,3790,Espèces,51,43,Oui,Soleil,29.3,Black Friday,32,30
T00076,2025-05-13,S06,Nice,P004,Shampoing,Droguerie,4.5,2,9.0,C121,40,Jeune,3348,CB,103,101,Oui,Neige,17.4,Black Friday,15,7
T00077,2025-06-02,S04,Lille,P009,TV 4K,Électronique,599.0,6,3594.0,C179,49,Actif,2937,Espèces,35,29,Non,Neige,3.7,Aucun,36,2
T00078,2025-09-01,S03,Marseille,P010,Casque audio,Électronique,49.0,10,490.0,C247,69,Senior,4059,Espèces,150,140,Non,Nuageux,31.4,Aucun,36,33
T00079,2025-03-27,S07,Bordeaux,P010,Casque audio,Électronique,49.0,1,49.0,C514,24,Jeune,782,CB,141,140,Non,Nuageux,8.0,Soldes,12,3
T00080,2025-04-09,S08,Nantes,P007,Jeans,Textile,35.0,6,210.0,C337,63,Actif,1724,Espèces,94,88,Oui,Nuageux,18.1,Noël,24,4
T00081,2025-12-12,S05,Toulouse,P003,Pâtes 500g,Alimentaire,1.1,9,9.9,C778,25,Senior,491,CB,190,181,Oui,Soleil,-3.6,Black Friday,1,1
T00082,2025-09-27,S02,Lyon,P010,Casque audio,Électronique,49.0,9,441.0,C591,22,Jeune,2882,CB,119,110,Oui,Pluie,27.8,Aucun,44,40
T00083,2025-02-13,S04,Lille,P001,Lait demi-écrémé,Alimentaire,1.2,7,8.4,C203,61,Jeune,1283,CB,155,148,Oui,Nuageux,18.1,Soldes,17,11
T00084,2025-06-08,S02,Lyon,P009,TV 4K,Électronique,599.0,5,2995.0,C918,30,Jeune,1305,CB,161,156,Non,Pluie,14.2,Soldes,26,22
T00085,2025-01-20,S01,Paris,P003,Pâtes 500g,Alimentaire,1.1,7,7.7,C250,35,Jeune,2962,Mobile,57,50,Non,Neige,1.7,Soldes,36,11
T00086,2025-02-27,S05,Toulouse,P005,Lessive,Droguerie,8.5,2,17.0,C405,45,Jeune,3370,Espèces,183,181,Oui,Pluie,18.7,Black Friday,49,42
T00087,2025-11-17,S01,Paris,P006,T-shirt homme,Textile,12.0,7,84.0,C598,46,Jeune,246,Espèces,47,40,Oui,Pluie,30.0,Black Friday,22,2
T00088,2025-11-08,S05,Toulouse,P003,Pâtes 500g,Alimentaire,1.1,9,9.9,C572,61,Famille,1841,Espèces,65,56,Non,Nuageux,21.7,Noël,42,2
T00089,2025-09-13,S08,Nantes,P003,Pâtes 500g,Alimentaire,1.1,10,11.0,C782,33,Famille,3255,Mobile,141,131,Oui,Neige,5.6,Noël,44,35
T00090,2025-10-09,S08,Nantes,P010,Casque audio,Électronique,49.0,7,343.0,C517,53,Senior,880,Espèces,60,53,Non,Soleil,28.0,Black Friday,18,9
T00091,2025-11-25,S08,Nantes,P003,Pâtes 500g,Alimentaire,1.1,4,4.4,C118,52,Famille,568,CB,61,57,Oui,Pluie,27.1,Aucun,40,7
T00092,2025-09-17,S07,Bordeaux,P007,Jeans,Textile,35.0,9,315.0,C648,24,Actif,152,CB,31,22,Oui,Neige,0.4,Soldes,3,0
T00093,2025-01-03,S03,Marseille,P007,Jeans,Textile,35.0,6,210.0,C726,43,Senior,3652,Espèces,155,149,Non,Pluie,30.8,Soldes,24,15
T00094,2025-05-15,S01,Paris,P004,Shampoing,Droguerie,4.5,1,4.5,C427,65,Jeune,1962,CB,112,111,Oui,Soleil,18.9,Noël,22,15
T00095,2025-10-10,S08,Nantes,P003,Pâtes 500g,Alimentaire,1.1,2,2.2,C970,54,Senior,1642,Espèces,129,127,Non,Soleil,30.4,Soldes,29,3
T00096,2025-08-30,S03,Marseille,P007,Jeans,Textile,35.0,9,315.0,C952,54,Famille,2427,CB,141,132,Non,Neige,22.7,Black Friday,17,3
T00097,2025-04-01,S08,Nantes,P005,Lessive,Droguerie,8.5,10,85.0,C466,48,Senior,3142,Mobile,174,164,Non,Nuageux,12.0,Aucun,28,6
T00098,2025-06-03,S05,Toulouse,P001,Lait demi-écrémé,Alimentaire,1.2,7,8.4,C195,47,Jeune,76,Mobile,51,44,Oui,Neige,2.5,Soldes,31,18
T00099,2025-12-24,S08,Nantes,P010,Casque audio,Électronique,49.0,8,392.0,C556,41,Senior,1296,CB,116,108,Non,Soleil,29.4,Noël,10,9
T00100,2025-04-26,S06,Nice,P006,T-shirt homme,Textile,12.0,10,120.0,C890,60,Actif,3993,Espèces,54,44,Non,Pluie,19.2,Noël,3,3
T00101,2025-11-29,S07,Bordeaux,P007,Jeans,Textile,35.0,2,70.0,C659,68,Jeune,1103,CB,167,165,Non,Soleil,-1.2,Aucun,46,33
T00102,2025-12-11,S03,Marseille,P008,Smartphone,Électronique,299.0,6,1794.0,C579,43,Famille,2451,Mobile,137,131,Oui,Neige,20.2,Black Friday,20,3
T00103,2025-03-12,S07,Bordeaux,P009,TV 4K,Électronique,599.0,1,599.0,C535,62,Actif,2486,Mobile,74,73,Non,Soleil,8.2,Soldes,28,25
T00104,2025-02-01,S06,Nice,P002,Riz 1kg,Alimentaire,2.0,6,12.0,C720,24,Famille,3827,Mobile,45,39,Non,Nuageux,29.3,Black Friday,32,10
T00105,2025-03-28,S08,Nantes,P006,T-shirt homme,Textile,12.0,5,60.0,C596,18,Famille,2050,Mobile,106,101,Non,Nuageux,7.6,Soldes,10,7
T00106,2025-10-28,S05,Toulouse,P003,Pâtes 500g,Alimentaire,1.1,5,5.5,C234,57,Senior,1138,CB,119,114,Oui,Neige,11.0,Noël,48,10
T00107,2025-09-08,S04,Lille,P006,T-shirt homme,Textile,12.0,4,48.0,C627,41,Senior,4007,CB,33,29,Oui,Pluie,-4.2,Soldes,2,2
T00108,2025-09-12,S02,Lyon,P001,Lait demi-écrémé,Alimentaire,1.2,7,8.4,C842,42,Famille,1381,Mobile,157,150,Non,Neige,8.8,Noël,20,12
T00109,2025-06-18,S04,Lille,P003,Pâtes 500g,Alimentaire,1.1,3,3.3,C399,38,Jeune,49,CB,107,104,Non,Nuageux,4.7,Noël,27,5
T00110,2025-11-23,S02,Lyon,P007,Jeans,Textile,35.0,10,350.0,C514,57,Senior,205,CB,49,39,Non,Nuageux,7.0,Noël,48,22
T00111,2025-08-26,S06,Nice,P003,Pâtes 500g,Alimentaire,1.1,7,7.7,C114,63,Jeune,1321,Mobile,103,96,Non,Soleil,24.6,Aucun,26,12
T00112,2025-08-07,S03,Marseille,P009,TV 4K,Électronique,599.0,6,3594.0,C192,38,Jeune,4299,CB,104,98,Non,Neige,8.8,Black Friday,1,1
T00113,2025-08-23,S06,Nice,P004,Shampoing,Droguerie,4.5,4,18.0,C571,60,Jeune,2191,Espèces,106,102,Non,Soleil,-2.1,Black Friday,36,26
T00114,2025-08-05,S04,Lille,P009,TV 4K,Électronique,599.0,7,4193.0,C160,64,Famille,659,Mobile,24,17,Non,Neige,33.8,Black Friday,36,19
T00115,2025-03-16,S02,Lyon,P010,Casque audio,Électronique,49.0,6,294.0,C126,55,Actif,2673,CB,198,192,Non,Nuageux,8.0,Aucun,27,13
T00116,2025-10-09,S03,Marseille,P003,Pâtes 500g,Alimentaire,1.1,7,7.7,C795,26,Jeune,3143,Espèces,146,139,Oui,Nuageux,6.9,Black Friday,27,15
T00117,2025-11-18,S04,Lille,P001,Lait demi-écrémé,Alimentaire,1.2,1,1.2,C813,50,Famille,37,CB,28,27,Non,Pluie,16.8,Noël,21,18
T00118,2025-01-31,S07,Bordeaux,P006,T-shirt homme,Textile,12.0,6,72.0,C150,22,Actif,2705,CB,141,135,Non,Soleil,13.5,Black Friday,44,42
T00119,2025-11-19,S01,Paris,P008,Smartphone,Électronique,299.0,2,598.0,C494,39,Jeune,373,Espèces,130,128,Non,Pluie,-2.4,Soldes,1,1
T00120,2025-08-22,S02,Lyon,P003,Pâtes 500g,Alimentaire,1.1,6,6.6,C543,50,Famille,115,Espèces,94,88,Non,Neige,0.9,Aucun,24,1
T00121,2025-05-27,S08,Nantes,P005,Lessive,Droguerie,8.5,5,42.5,C747,28,Famille,3956,Mobile,29,24,Non,Nuageux,16.5,Aucun,47,4
T00122,2025-05-04,S06,Nice,P001,Lait demi-écrémé,Alimentaire,1.2,9,10.8,C367,63,Senior,319,Espèces,66,57,Non,Pluie,-0.7,Soldes,5,2
T00123,2025-12-05,S08,Nantes,P006,T-shirt homme,Textile,12.0,5,60.0,C643,58,Jeune,1691,Espèces,73,68,Non,Pluie,28.1,Aucun,34,3
T00124,2025-08-12,S08,Nantes,P006,T-shirt homme,Textile,12.0,2,24.0,C470,50,Senior,1057,Mobile,177,175,Oui,Nuageux,3.9,Noël,19,17
T00125,2025-12-10,S06,Nice,P004,Shampoing,Droguerie,4.5,3,13.5,C823,31,Famille,3118,CB,114,111,Non,Soleil,35.0,Aucun,0,0
T00126,2025-04-25,S01,Paris,P007,Jeans,Textile,35.0,6,210.0,C124,41,Famille,2764,Espèces,102,96,Oui,Pluie,26.4,Noël,31,12
T00127,2025-11-16,S03,Marseille,P010,Casque audio,Électronique,49.0,6,294.0,C642,60,Actif,3218,CB,161,155,Non,Soleil,4.3,Black Friday,47,40
T00128,2025-09-04,S04,Lille,P009,TV 4K,Électronique,599.0,10,5990.0,C438,70,Jeune,3020,Mobile,128,118,Non,Pluie,25.0,Black Friday,13,1
T00129,2025-03-05,S06,Nice,P006,T-shirt homme,Textile,12.0,2,24.0,C172,41,Actif,3926,Mobile,25,23,Non,Neige,32.4,Black Friday,3,1
T00130,2025-01-31,S02,Lyon,P002,Riz 1kg,Alimentaire,2.0,5,10.0,C565,41,Famille,1302,CB,118,113,Non,Pluie,29.7,Soldes,50,32
T00131,2025-11-16,S08,Nantes,P010,Casque audio,Électronique,49.0,9,441.0,C926,56,Jeune,1951,Espèces,109,100,Non,Pluie,29.7,Noël,24,9
T00132,2025-05-25,S03,Marseille,P005,Lessive,Droguerie,8.5,9,76.5,C602,33,Senior,2668,Mobile,21,12,Oui,Nuageux,12.3,Soldes,46,40
T00133,2025-09-05,S04,Lille,P008,Smartphone,Électronique,299.0,1,299.0,C607,26,Actif,1557,Mobile,42,41,Non,Soleil,-0.6,Aucun,42,2
T00134,2025-07-19,S06,Nice,P004,Shampoing,Droguerie,4.5,7,31.5,C169,58,Senior,4456,Espèces,122,115,Oui,Pluie,26.8,Black Friday,33,17
T00135,2025-04-16,S06,Nice,P004,Shampoing,Droguerie,4.5,6,27.0,C729,23,Famille,3392,Mobile,95,89,Non,Pluie,15.5,Black Friday,12,12
T00136,2025-03-25,S02,Lyon,P002,Riz 1kg,Alimentaire,2.0,2,4.0,C121,19,Actif,1209,Mobile,186,184,Non,Soleil,33.2,Soldes,20,1
T00137,2025-03-30,S02,Lyon,P003,Pâtes 500g,Alimentaire,1.1,3,3.3,C967,51,Jeune,1975,Mobile,94,91,Non,Soleil,3.3,Noël,38,11
T00138,2025-11-04,S06,Nice,P003,Pâtes 500g,Alimentaire,1.1,3,3.3,C968,29,Famille,2211,Mobile,104,101,Non,Nuageux,15.4,Noël,34,1
T00139,2025-07-29,S04,Lille,P003,Pâtes 500g,Alimentaire,1.1,10,11.0,C866,64,Famille,3366,Mobile,142,132,Oui,Nuageux,27.9,Black Friday,49,8
T00140,2025-06-10,S03,Marseille,P004,Shampoing,Droguerie,4.5,7,31.5,C833,39,Actif,3525,Mobile,81,74,Oui,Pluie,19.1,Soldes,36,15
T00141,2025-06-23,S02,Lyon,P008,Smartphone,Électronique,299.0,8,2392.0,C301,60,Famille,2068,Mobile,184,176,Non,Nuageux,1.7,Noël,4,4
T00142,2025-03-11,S04,Lille,P001,Lait demi-écrémé,Alimentaire,1.2,6,7.2,C687,41,Jeune,4567,CB,38,32,Oui,Nuageux,16.2,Soldes,7,0
T00143,2025-03-21,S05,Toulouse,P009,TV 4K,Électronique,599.0,5,2995.0,C280,46,Jeune,4629,CB,53,48,Oui,Neige,18.0,Noël,46,4
T00144,2025-09-06,S08,Nantes,P007,Jeans,Textile,35.0,7,245.0,C925,22,Jeune,591,CB,117,110,Non,Pluie,14.3,Noël,0,0
T00145,2025-06-29,S05,Toulouse,P005,Lessive,Droguerie,8.5,8,68.0,C290,69,Famille,3737,Mobile,197,189,Oui,Neige,5.1,Soldes,30,18
T00146,2025-02-27,S06,Nice,P003,Pâtes 500g,Alimentaire,1.1,2,2.2,C887,49,Actif,34,CB,160,158,Oui,Nuageux,29.0,Aucun,32,27
T00147,2025-12-12,S05,Toulouse,P004,Shampoing,Droguerie,4.5,4,18.0,C942,63,Famille,2183,Mobile,59,55,Oui,Neige,1.1,Noël,23,20
T00148,2025-09-01,S03,Marseille,P001,Lait demi-écrémé,Alimentaire,1.2,7,8.4,C905,25,Famille,3995,CB,164,157,Oui,Neige,-3.5,Black Friday,8,4
T00149,2025-01-11,S06,Nice,P008,Smartphone,Électronique,299.0,7,2093.0,C899,53,Famille,1439,Mobile,104,97,Oui,Soleil,28.0,Noël,42,14
T00150,2025-03-02,S01,Paris,P003,Pâtes 500g,Alimentaire,1.1,9,9.9,C382,52,Jeune,2105,Mobile,197,188,Oui,Neige,20.7,Black Friday,49,44
T00151,2025-06-29,S01,Paris,P004,Shampoing,Droguerie,4.5,10,45.0,C712,29,Jeune,2010,Espèces,90,80,Oui,Pluie,34.6,Soldes,36,27
T00152,2025-03-20,S05,Toulouse,P010,Casque audio,Électronique,49.0,10,490.0,C580,50,Famille,696,Mobile,188,178,Oui,Pluie,34.1,Noël,24,18
T00153,2025-07-05,S01,Paris,P010,Casque audio,Électronique,49.0,5,245.0,C745,67,Famille,850,CB,22,17,Non,Soleil,14.4,Aucun,13,12
T00154,2025-07-19,S05,Toulouse,P007,Jeans,Textile,35.0,3,105.0,C722,46,Senior,204,Mobile,154,151,Non,Nuageux,20.1,Soldes,37,6
T00155,2025-09-08,S08,Nantes,P007,Jeans,Textile,35.0,1,35.0,C333,42,Actif,765,Mobile,164,163,Oui,Nuageux,-3.4,Black Friday,41,8
T00156,2025-08-06,S02,Lyon,P001,Lait demi-écrémé,Alimentaire,1.2,3,3.6,C253,50,Jeune,3499,Mobile,195,192,Oui,Neige,4.2,Noël,13,12
T00157,2025-05-08,S05,Toulouse,P005,Lessive,Droguerie,8.5,9,76.5,C559,35,Jeune,3735,Mobile,92,83,Non,Soleil,-3.8,Aucun,27,20
T00158,2025-10-25,S06,Nice,P001,Lait demi-écrémé,Alimentaire,1.2,3,3.6,C710,58,Jeune,82,CB,54,51,Oui,Soleil,19.6,Aucun,27,3
T00159,2025-01-18,S05,Toulouse,P004,Shampoing,Droguerie,4.5,10,45.0,C137,63,Famille,607,Mobile,178,168,Oui,Pluie,3.3,Aucun,48,29
