livraison_id,type_flux,entrepot_depart_id,entrepot_depart_nom,entrepot_arrivee_id,entrepot_arrivee_nom,product_id,product_name,categorie,date_depart,date_arrivee_prevue,duree_transport_j,quantite,poids_kg,transporteur,cout_transport_eur,statut_livraison,incident
LIV00022,Fournisseur → Entrepôt,E08,Nantes-Atlantique,E02,Lyon-Sud,P009,TV 4K,Électronique,2025-12-05,2025-12-06,1,791,5518.5,XPO Logistics,1716.07,Livré,Aucun
LIV00023,Entrepôt → Magasin,E07,Bordeaux-Centre,E01,Paris-Rungis,P001,Lait demi-écrémé,Alimentaire,2025-04-03,2025-04-05,2,948,2809.6,DHL Supply Chain,573.76,Livré,Aucun
LIV00024,Magasin → Magasin,E03,Marseille-Port,E04,Lille-Nord,P006,T-shirt homme,Textile,2025-11-14,2025-11-18,4,222,2235.4,XPO Logistics,673.55,Retardé,Aucun
LIV00025,Inter-entrepôts,E08,Nantes-Atlantique,E04,Lille-Nord,P001,Lait demi-écrémé,Alimentaire,2025-03-02,2025-03-03,1,1405,7353.7,XPO Logistics,1687.79,Retardé,Aucun
LIV00026,Inter-entrepôts,E07,Bordeaux-Centre,E01,Paris-Rungis,P010,Casque audio,Électronique,2025-08-06,2025-08-11,5,706,4428.5,Geodis,1016.37,Livré,Aucun
LIV00027,Entrepôt → Magasin,E06,Nice-Est,E07,Bordeaux-Centre,P010,Casque audio,Électronique,2025-08-31,2025-09-02,2,720,5518.1,FM Logistic,1806.26,En transit,Casse
LIV00028,Fournisseur → Entrepôt,E04,Lille-Nord,E07,Bordeaux-Centre,P004,Shampoing,Droguerie,2025-07-30,2025-08-02,3,566,7522.4,DHL Supply Chain,617.81,Livré,Aucun
LIV00029,Magasin → Magasin,E06,Nice-Est,E05,Toulouse-Ouest,P007,Jeans,Textile,2025-05-16,2025-05-19,3,1071,7318.6,DB Schenker,1868.72,Livré,Aucun
LIV00030,Magasin → Magasin,E02,Lyon-Sud,E04,Lille-Nord,P006,T-shirt homme,Textile,2025-11-18,2025-11-20,2,573,7362.4,XPO Logistics,2303.66,Livré,Aucun
LIV00031,Fournisseur → Entrepôt,E01,Paris-Rungis,E08,Nantes-Atlantique,P006,T-shirt homme,Textile,2025-05-04,2025-05-08,4,1024,2861.0,FM Logistic,795.93,Livré,Retard transporteur
LIV00032,Magasin → Magasin,E06,Nice-Est,E02,Lyon-Sud,P010,Casque audio,Électronique,2025-05-13,2025-05-16,3,65,246.0,DHL Supply Chain,199.14,Livré,Casse
LIV00033,Entrepôt → Magasin,E06,Nice-Est,E02,Lyon-Sud,P009,TV 4K,Électronique,2025-04-21,2025-04-23,2,1102,6354.7,DHL Supply Chain,1054.96,Livré,Aucun
LIV00034,Magasin → Magasin,E05,Toulouse-Ouest,E07,Bordeaux-Centre,P009,TV 4K,Électronique,2025-01-22,2025-01-25,3,69,502.2,DB Schenker,146.53,En transit,Aucun
LIV00035,Entrepôt → Magasin,E07,Bordeaux-Centre,E02,Lyon-Sud,P003,Pâtes 500g,Alimentaire,2025-12-28,2025-12-31,3,70,344.3,XPO Logistics,255.69,Livré,Aucun
LIV00036,Magasin → Magasin,E07,Bordeaux-Centre,E02,Lyon-Sud,P004,Shampoing,Droguerie,2025-05-30,2025-06-03,4,966,4281.9,DHL Supply Chain,894.15,Annulé,Erreur quantité
LIV00037,Magasin → Magasin,E01,Paris-Rungis,E03,Marseille-Port,P004,Shampoing,Droguerie,2025-03-11,2025-03-15,4,412,5103.4,Geodis,1151.52,Livré,Aucun
LIV00038,Fournisseur → Entrepôt,E02,Lyon-Sud,E01,Paris-Rungis,P002,Riz 1kg,Alimentaire,2025-01-11,2025-01-13,2,1296,9709.3,DB Schenker,845.55,Livré,Retard transporteur
LIV00039,Entrepôt → Magasin,E07,Bordeaux-Centre,E03,Marseille-Port,P009,TV 4K,Électronique,2025-05-15,2025-05-20,5,955,6965.7,Geodis,1552.63,Livré,Aucun
LIV00040,Magasin → Magasin,E02,Lyon-Sud,E04,Lille-Nord,P005,Lessive,Droguerie,2025-04-21,2025-04-24,3,925,12001.4,DB Schenker,1940.27,Livré,Aucun
LIV00041,Entrepôt → Magasin,E06,Nice-Est,E07,Bordeaux-Centre,P003,Pâtes 500g,Alimentaire,2025-07-29,2025-07-30,1,390,4477.1,DHL Supply Chain,407.18,Livré,Aucun
LIV00042,Entrepôt → Magasin,E08,Nantes-Atlantique,E01,Paris-Rungis,P009,TV 4K,Électronique,2025-12-15,2025-12-16,1,337,3072.0,FM Logistic,566.97,Retardé,Retard transporteur
LIV00043,Entrepôt → Magasin,E03,Marseille-Port,E02,Lyon-Sud,P008,Smartphone,Électronique,2025-08-25,2025-08-28,3,755,6865.9,XPO Logistics,1644.36,Retardé,Aucun
LIV00044,Inter-entrepôts,E08,Nantes-Atlantique,E04,Lille-Nord,P009,TV 4K,Électronique,2025-08-17,2025-08-18,1,694,9559.8,Geodis,1979.78,Livré,Aucun
LIV00045,Magasin → Magasin,E06,Nice-Est,E01,Paris-Rungis,P001,Lait demi-écrémé,Alimentaire,2025-08-07,2025-08-10,3,93,705.9,DB Schenker,387.63,En transit,Aucun
LIV00046,Magasin → Magasin,E05,Toulouse-Ouest,E06,Nice-Est,P004,Shampoing,Droguerie,2025-01-06,2025-01-08,2,530,4191.2,DB Schenker,1180.69,Livré,Retard transporteur
LIV00047,Entrepôt → Magasin,E05,Toulouse-Ouest,E03,Marseille-Port,P010,Casque audio,Électronique,2025-03-08,2025-03-12,4,388,3048.5,FM Logistic,717.91,En transit,Aucun
LIV00048,Inter-entrepôts,E07,Bordeaux-Centre,E08,Nantes-Atlantique,P005,Lessive,Droguerie,2025-05-06,2025-05-07,1,886,6679.5,DB Schenker,1437.6,Livré,Aucun
LIV00049,Fournisseur → Entrepôt,E01,Paris-Rungis,E06,Nice-Est,P009,TV 4K,Électronique,2025-12-04,2025-12-09,5,656,9806.4,Geodis,1986.93,Annulé,Erreur quantité
LIV00050,Magasin → Magasin,E06,Nice-Est,E04,Lille-Nord,P001,Lait demi-écrémé,Alimentaire,2025-06-25,2025-06-27,2,876,8237.8,Geodis,2101.86,Livré,Aucun
LIV00051,Inter-entrepôts,E07,Bordeaux-Centre,E04,Lille-Nord,P004,Shampoing,Droguerie,2025-04-23,2025-04-24,1,1239,15352.5,DB Schenker,1512.9,En transit,Aucun
LIV00052,Entrepôt → Magasin,E04,Lille-Nord,E01,Paris-Rungis,P008,Smartphone,Électronique,2025-11-02,2025-11-07,5,250,3026.9,DHL Supply Chain,608.29,Livré,Aucun
LIV00053,Inter-entrepôts,E03,Marseille-Port,E01,Paris-Rungis,P002,Riz 1kg,Alimentaire,2025-03-16,2025-03-21,5,741,2564.3,XPO Logistics,766.55,Livré,Aucun
LIV00054,Entrepôt → Magasin,E03,Marseille-Port,E07,Bordeaux-Centre,P001,Lait demi-écrémé,Alimentaire,2025-12-21,2025-12-25,4,1069,2305.7,Geodis,764.24,En transit,Aucun
LIV00055,Inter-entrepôts,E01,Paris-Rungis,E04,Lille-Nord,P005,Lessive,Droguerie,2025-09-29,2025-10-02,3,1461,10066.0,DHL Supply Chain,2946.18,En transit,Aucun
LIV00056,Inter-entrepôts,E03,Marseille-Port,E04,Lille-Nord,P006,T-shirt homme,Textile,2025-11-23,2025-11-26,3,494,3969.8,XPO Logistics,567.18,Livré,Aucun
LIV00057,Inter-entrepôts,E07,Bordeaux-Centre,E03,Marseille-Port,P003,Pâtes 500g,Alimentaire,2025-10-28,2025-10-31,3,211,1627.9,FM Logistic,297.13,Livré,Aucun
LIV00058,Entrepôt → Magasin,E06,Nice-Est,E03,Marseille-Port,P010,Casque audio,Électronique,2025-01-22,2025-01-24,2,119,1674.5,DB Schenker,291.41,Livré,Retard transporteur
LIV00059,Fournisseur → Entrepôt,E05,Toulouse-Ouest,E07,Bordeaux-Centre,P009,TV 4K,Électronique,2025-08-21,2025-08-25,4,221,2259.8,DB Schenker,560.41,En transit,Aucun
LIV00060,Entrepôt → Magasin,E06,Nice-Est,E07,Bordeaux-Centre,P001,Lait demi-écrémé,Alimentaire,2025-09-19,2025-09-24,5,288,2856.9,Geodis,576.58,Livré,Casse
LIV00061,Magasin → Magasin,E07,Bordeaux-Centre,E05,Toulouse-Ouest,P006,T-shirt homme,Textile,2025-06-27,2025-06-30,3,1241,13101.5,Geodis,3291.45,En transit,Aucun
LIV00062,Entrepôt → Magasin,E03,Marseille-Port,E07,Bordeaux-Centre,P003,Pâtes 500g,Alimentaire,2025-08-17,2025-08-21,4,685,3226.6,DB Schenker,943.55,Livré,Aucun
LIV00063,Inter-entrepôts,E06,Nice-Est,E03,Marseille-Port,P002,Riz 1kg,Alimentaire,2025-03-06,2025-03-08,2,1063,7309.7,FM Logistic,2155.75,En transit,Aucun
LIV00064,Magasin → Magasin,E01,Paris-Rungis,E02,Lyon-Sud,P008,Smartphone,Électronique,2025-02-01,2025-02-04,3,687,9221.5,DHL Supply Chain,1965.0,En transit,Aucun
LIV00065,Magasin → Magasin,E05,Toulouse-Ouest,E07,Bordeaux-Centre,P002,Riz 1kg,Alimentaire,2025-08-12,2025-08-16,4,281,900.0,XPO Logistics,418.84,Livré,Aucun
LIV00066,Fournisseur → Entrepôt,E06,Nice-Est,E05,Toulouse-Ouest,P004,Shampoing,Droguerie,2025-06-25,2025-06-26,1,355,4158.8,DB Schenker,771.85,Livré,Aucun
LIV00067,Entrepôt → Magasin,E03,Marseille-Port,E08,Nantes-Atlantique,P003,Pâtes 500g,Alimentaire,2025-09-09,2025-09-11,2,1401,10360.9,Geodis,1703.0,Retardé,Retard transporteur
LIV00068,Inter-entrepôts,E05,Toulouse-Ouest,E01,Paris-Rungis,P008,Smartphone,Électronique,2025-11-23,2025-11-24,1,124,655.1,DB Schenker,324.14,Livré,Aucun
LIV00069,Fournisseur → Entrepôt,E06,Nice-Est,E04,Lille-Nord,P003,Pâtes 500g,Alimentaire,2025-03-04,2025-03-08,4,1153,16554.5,DHL Supply Chain,3674.84,En transit,Casse
LIV00070,Magasin → Magasin,E07,Bordeaux-Centre,E05,Toulouse-Ouest,P001,Lait demi-écrémé,Alimentaire,2025-10-14,2025-10-19,5,739,8462.9,DHL Supply Chain,1311.97,Livré,Aucun
LIV00071,Entrepôt → Magasin,E05,Toulouse-Ouest,E02,Lyon-Sud,P002,Riz 1kg,Alimentaire,2025-08-31,2025-09-01,1,768,10512.0,FM Logistic,2503.72,En transit,Aucun
LIV00072,Magasin → Magasin,E04,Lille-Nord,E02,Lyon-Sud,P007,Jeans,Textile,2025-10-12,2025-10-16,4,104,1221.3,DHL Supply Chain,540.55,En transit,Aucun
LIV00073,Entrepôt → Magasin,E06,Nice-Est,E07,Bordeaux-Centre,P001,Lait demi-écrémé,Alimentaire,2025-02-15,2025-02-16,1,764,4404.9,XPO Logistics,1159.12,Livré,Aucun
LIV00074,Inter-entrepôts,E01,Paris-Rungis,E03,Marseille-Port,P007,Jeans,Textile,2025-05-26,2025-05-27,1,77,714.8,FM Logistic,289.13,Livré,Aucun
LIV00075,Magasin → Magasin,E04,Lille-Nord,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-01-22,2025-01-24,2,14,141.2,Geodis,224.29,Livré,Aucun
LIV00076,Inter-entrepôts,E05,Toulouse-Ouest,E03,Marseille-Port,P008,Smartphone,Électronique,2025-09-24,2025-09-25,1,854,9959.3,XPO Logistics,1686.38,En transit,Retard transporteur
LIV00077,Entrepôt → Magasin,E04,Lille-Nord,E03,Marseille-Port,P009,TV 4K,Électronique,2025-12-25,2025-12-26,1,390,1802.2,DHL Supply Chain,575.99,Livré,Aucun
LIV00078,Fournisseur → Entrepôt,E05,Toulouse-Ouest,E08,Nantes-Atlantique,P001,Lait demi-écrémé,Alimentaire,2025-05-12,2025-05-16,4,1337,11383.8,DHL Supply Chain,2991.84,En transit,Aucun
LIV00079,Magasin → Magasin,E04,Lille-Nord,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-11-30,2025-12-03,3,1071,1784.3,FM Logistic,566.96,En transit,Aucun
LIV00080,Inter-entrepôts,E05,Toulouse-Ouest,E04,Lille-Nord,P009,TV 4K,Électronique,2025-08-17,2025-08-18,1,636,8906.7,FM Logistic,1272.0,Livré,Aucun
LIV00081,Fournisseur → Entrepôt,E04,Lille-Nord,E01,Paris-Rungis,P006,T-shirt homme,Textile,2025-06-19,2025-06-23,4,836,4072.2,DHL Supply Chain,554.15,Livré,Aucun
LIV00082,Entrepôt → Magasin,E07,Bordeaux-Centre,E03,Marseille-Port,P010,Casque audio,Électronique,2025-07-18,2025-07-22,4,866,8759.4,FM Logistic,2272.95,En transit,Aucun
LIV00083,Inter-entrepôts,E03,Marseille-Port,E06,Nice-Est,P003,Pâtes 500g,Alimentaire,2025-05-05,2025-05-07,2,555,3297.0,XPO Logistics,665.7,Livré,Aucun
LIV00084,Magasin → Magasin,E05,Toulouse-Ouest,E01,Paris-Rungis,P007,Jeans,Textile,2025-12-12,2025-12-13,1,427,3358.7,DB Schenker,706.2,En transit,Aucun
LIV00085,Magasin → Magasin,E04,Lille-Nord,E01,Paris-Rungis,P005,Lessive,Droguerie,2025-06-18,2025-06-21,3,1206,7187.9,DHL Supply Chain,2069.49,Livré,Aucun
LIV00086,Fournisseur → Entrepôt,E08,Nantes-Atlantique,E05,Toulouse-Ouest,P007,Jeans,Textile,2025-10-15,2025-10-16,1,120,1600.1,DHL Supply Chain,477.38,Livré,Aucun
LIV00087,Magasin → Magasin,E05,Toulouse-Ouest,E07,Bordeaux-Centre,P005,Lessive,Droguerie,2025-11-05,2025-11-08,3,449,6524.6,DB Schenker,1910.93,Livré,Aucun
LIV00088,Magasin → Magasin,E06,Nice-Est,E02,Lyon-Sud,P005,Lessive,Droguerie,2025-05-10,2025-05-12,2,96,115.5,DHL Supply Chain,305.3,Livré,Aucun
LIV00089,Entrepôt → Magasin,E06,Nice-Est,E02,Lyon-Sud,P001,Lait demi-écrémé,Alimentaire,2025-05-08,2025-05-11,3,179,1715.6,Geodis,418.29,Livré,Casse
LIV00090,Fournisseur → Entrepôt,E07,Bordeaux-Centre,E03,Marseille-Port,P002,Riz 1kg,Alimentaire,2025-05-01,2025-05-03,2,658,8700.8,XPO Logistics,1688.01,Livré,Aucun
LIV00091,Inter-entrepôts,E03,Marseille-Port,E07,Bordeaux-Centre,P010,Casque audio,Électronique,2025-09-14,2025-09-18,4,876,5552.2,Geodis,1755.4,Livré,Aucun
LIV00092,Fournisseur → Entrepôt,E03,Marseille-Port,E02,Lyon-Sud,P004,Shampoing,Droguerie,2025-10-08,2025-10-09,1,13,80.8,DHL Supply Chain,258.62,Livré,Erreur quantité
LIV00093,Entrepôt → Magasin,E01,Paris-Rungis,E04,Lille-Nord,P003,Pâtes 500g,Alimentaire,2025-03-06,2025-03-11,5,176,1420.8,DB Schenker,470.25,Livré,Retard transporteur
LIV00094,Magasin → Magasin,E06,Nice-Est,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-01-11,2025-01-14,3,281,2038.5,Geodis,598.18,Livré,Aucun
LIV00095,Fournisseur → Entrepôt,E04,Lille-Nord,E03,Marseille-Port,P009,TV 4K,Électronique,2025-04-10,2025-04-11,1,649,9183.3,DB Schenker,644.48,Livré,Aucun
LIV00096,Entrepôt → Magasin,E04,Lille-Nord,E01,Paris-Rungis,P007,Jeans,Textile,2025-02-09,2025-02-10,1,1229,13939.6,DHL Supply Chain,4117.95,Livré,Aucun
LIV00097,Fournisseur → Entrepôt,E06,Nice-Est,E08,Nantes-Atlantique,P004,Shampoing,Droguerie,2025-08-24,2025-08-25,1,588,8805.7,FM Logistic,1225.47,Livré,Aucun
LIV00098,Inter-entrepôts,E08,Nantes-Atlantique,E03,Marseille-Port,P004,Shampoing,Droguerie,2025-02-14,2025-02-16,2,857,5611.0,Geodis,1037.44,Livré,Aucun
LIV00099,Magasin → Magasin,E06,Nice-Est,E03,Marseille-Port,P009,TV 4K,Électronique,2025-01-12,2025-01-16,4,308,1226.8,Geodis,295.88,Livré,Casse
LIV00100,Inter-entrepôts,E07,Bordeaux-Centre,E06,Nice-Est,P008,Smartphone,Électronique,2025-01-30,2025-02-01,2,941,10297.5,DHL Supply Chain,857.02,Retardé,Casse
LIV00101,Magasin → Magasin,E01,Paris-Rungis,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-01-02,2025-01-05,3,956,13734.8,DHL Supply Chain,3632.49,Livré,Aucun
LIV00102,Magasin → Magasin,E04,Lille-Nord,E08,Nantes-Atlantique,P003,Pâtes 500g,Alimentaire,2025-05-04,2025-05-07,3,394,3444.7,DB Schenker,594.06,Livré,Aucun
LIV00103,Fournisseur → Entrepôt,E05,Toulouse-Ouest,E07,Bordeaux-Centre,P010,Casque audio,Électronique,2025-12-25,2025-12-28,3,177,2319.0,DB Schenker,526.91,Livré,Aucun
LIV00104,Inter-entrepôts,E03,Marseille-Port,E08,Nantes-Atlantique,P002,Riz 1kg,Alimentaire,2025-12-28,2026-01-02,5,475,366.4,DB Schenker,192.17,Livré,Aucun
LIV00105,Fournisseur → Entrepôt,E02,Lyon-Sud,E06,Nice-Est,P001,Lait demi-écrémé,Alimentaire,2025-03-15,2025-03-16,1,633,830.3,FM Logistic,478.83,Livré,Aucun
LIV00106,Entrepôt → Magasin,E06,Nice-Est,E01,Paris-Rungis,P001,Lait demi-écrémé,Alimentaire,2025-11-07,2025-11-09,2,399,1788.0,XPO Logistics,666.54,Livré,Aucun
LIV00107,Entrepôt → Magasin,E06,Nice-Est,E04,Lille-Nord,P006,T-shirt homme,Textile,2025-12-25,2025-12-28,3,406,2899.8,Geodis,826.79,En transit,Retard transporteur
LIV00108,Magasin → Magasin,E05,Toulouse-Ouest,E02,Lyon-Sud,P008,Smartphone,Électronique,2025-08-18,2025-08-19,1,1320,12945.7,DHL Supply Chain,1123.24,En transit,Aucun
LIV00109,Entrepôt → Magasin,E02,Lyon-Sud,E08,Nantes-Atlantique,P003,Pâtes 500g,Alimentaire,2025-06-24,2025-06-29,5,357,3002.9,FM Logistic,911.86,En transit,Casse
LIV00110,Magasin → Magasin,E02,Lyon-Sud,E05,Toulouse-Ouest,P009,TV 4K,Électronique,2025-07-11,2025-07-15,4,1093,2070.2,DHL Supply Chain,460.56,Livré,Aucun
LIV00111,Inter-entrepôts,E04,Lille-Nord,E01,Paris-Rungis,P002,Riz 1kg,Alimentaire,2025-01-30,2025-02-02,3,1486,8377.1,XPO Logistics,2218.27,Livré,Aucun
LIV00112,Inter-entrepôts,E02,Lyon-Sud,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-04-19,2025-04-23,4,598,5836.9,Geodis,533.14,En transit,Aucun
LIV00113,Magasin → Magasin,E06,Nice-Est,E07,Bordeaux-Centre,P005,Lessive,Droguerie,2025-07-01,2025-07-03,2,694,6032.8,DHL Supply Chain,1848.52,Livré,Aucun
LIV00114,Fournisseur → Entrepôt,E01,Paris-Rungis,E06,Nice-Est,P005,Lessive,Droguerie,2025-07-20,2025-07-22,2,35,251.8,XPO Logistics,198.12,Livré,Casse
LIV00115,Magasin → Magasin,E02,Lyon-Sud,E06,Nice-Est,P003,Pâtes 500g,Alimentaire,2025-07-30,2025-07-31,1,273,4007.5,Geodis,1246.54,En transit,Retard transporteur
LIV00116,Entrepôt → Magasin,E07,Bordeaux-Centre,E05,Toulouse-Ouest,P001,Lait demi-écrémé,Alimentaire,2025-03-02,2025-03-03,1,1251,16671.4,FM Logistic,4276.62,Livré,Aucun
LIV00117,Fournisseur → Entrepôt,E01,Paris-Rungis,E08,Nantes-Atlantique,P009,TV 4K,Électronique,2025-02-04,2025-02-08,4,110,112.2,FM Logistic,95.1,Livré,Aucun
LIV00118,Entrepôt → Magasin,E06,Nice-Est,E08,Nantes-Atlantique,P009,TV 4K,Électronique,2025-08-25,2025-08-29,4,1015,13003.9,DHL Supply Chain,3273.02,Livré,Aucun
LIV00119,Inter-entrepôts,E02,Lyon-Sud,E01,Paris-Rungis,P010,Casque audio,Électronique,2025-06-21,2025-06-25,4,1336,13284.9,DHL Supply Chain,3383.36,Livré,Aucun
LIV00120,Magasin → Magasin,E04,Lille-Nord,E07,Bordeaux-Centre,P006,T-shirt homme,Textile,2025-11-01,2025-11-04,3,809,8512.2,Geodis,1701.57,Livré,Aucun
LIV00121,Fournisseur → Entrepôt,E02,Lyon-Sud,E03,Marseille-Port,P006,T-shirt homme,Textile,2025-07-25,2025-07-27,2,1175,16480.7,FM Logistic,3804.55,Livré,Aucun
LIV00122,Inter-entrepôts,E06,Nice-Est,E01,Paris-Rungis,P001,Lait demi-écrémé,Alimentaire,2025-09-11,2025-09-14,3,226,1477.8,DHL Supply Chain,619.69,Livré,Aucun
LIV00123,Inter-entrepôts,E06,Nice-Est,E05,Toulouse-Ouest,P002,Riz 1kg,Alimentaire,2025-10-10,2025-10-12,2,241,1808.5,DHL Supply Chain,492.37,Retardé,Aucun
LIV00124,Inter-entrepôts,E06,Nice-Est,E08,Nantes-Atlantique,P010,Casque audio,Électronique,2025-11-15,2025-11-18,3,1350,11321.1,DHL Supply Chain,1286.65,Livré,Aucun
LIV00125,Entrepôt → Magasin,E03,Marseille-Port,E04,Lille-Nord,P003,Pâtes 500g,Alimentaire,2025-01-19,2025-01-20,1,1262,4091.6,XPO Logistics,1190.58,Livré,Aucun
LIV00126,Magasin → Magasin,E08,Nantes-Atlantique,E01,Paris-Rungis,P010,Casque audio,Électronique,2025-02-15,2025-02-20,5,870,12566.1,Geodis,2538.0,Livré,Aucun
LIV00127,Inter-entrepôts,E08,Nantes-Atlantique,E05,Toulouse-Ouest,P004,Shampoing,Droguerie,2025-01-21,2025-01-24,3,1323,8046.1,XPO Logistics,918.5,Livré,Aucun
LIV00128,Inter-entrepôts,E06,Nice-Est,E08,Nantes-Atlantique,P006,T-shirt homme,Textile,2025-04-02,2025-04-06,4,1422,4015.0,DB Schenker,555.89,En transit,Erreur quantité
LIV00129,Magasin → Magasin,E02,Lyon-Sud,E01,Paris-Rungis,P003,Pâtes 500g,Alimentaire,2025-10-13,2025-10-15,2,835,7503.4,XPO Logistics,1720.83,Livré,Aucun
LIV00130,Inter-entrepôts,E03,Marseille-Port,E02,Lyon-Sud,P010,Casque audio,Électronique,2025-04-24,2025-04-25,1,912,8917.9,FM Logistic,1718.36,Retardé,Aucun
LIV00131,Fournisseur → Entrepôt,E08,Nantes-Atlantique,E03,Marseille-Port,P001,Lait demi-écrémé,Alimentaire,2025-06-11,2025-06-14,3,997,10451.6,DB Schenker,1986.46,En transit,Aucun
LIV00132,Inter-entrepôts,E02,Lyon-Sud,E03,Marseille-Port,P005,Lessive,Droguerie,2025-04-19,2025-04-22,3,1322,6601.0,DB Schenker,1082.94,Livré,Aucun
LIV00133,Magasin → Magasin,E06,Nice-Est,E01,Paris-Rungis,P010,Casque audio,Électronique,2025-03-14,2025-03-18,4,333,345.5,DB Schenker,99.4,En transit,Aucun
LIV00134,Magasin → Magasin,E06,Nice-Est,E04,Lille-Nord,P003,Pâtes 500g,Alimentaire,2025-11-10,2025-11-13,3,413,1334.9,Geodis,284.22,En transit,Aucun
